arm,bank_id,prompt,repeat,sensor_id,severity,spike_value,summary,fallback,attempts,latency_ms
gemini_2_5_flash__production,L03,Machine 3 oil pressure gauge is sitting a hair under its usual mark,1,Xs4,LOW,0.48,"[gemini-2.5-flash] Oil pressure sensor Xs4 indicates a slight drop, suggesting an early warning of a lubrication issue.",False,1,3174.837112426758
gemini_2_5_flash__production,L03,Machine 3 oil pressure gauge is sitting a hair under its usual mark,2,Xs4,LOW,0.48,"[gemini-2.5-flash] Oil pressure sensor Xs4 indicates a slight drop in pressure, suggesting an early warning of a lubrication issue.",False,1,3339.729070663452
gemini_2_5_flash__production,L04,"operators on Machine 4 can just about feel a faint buzz through the frame, parts still in tolerance",0,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 detected a low-severity faint buzz, indicating an early warning of potential imbalance.",False,1,3143.817186355591
gemini_2_5_flash__production,L04,"operators on Machine 4 can just about feel a faint buzz through the frame, parts still in tolerance",1,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 detected a low-severity faint buzz, indicating an early warning of potential imbalance.",False,1,3180.9120178222656
gemini_2_5_flash__production,L04,"operators on Machine 4 can just about feel a faint buzz through the frame, parts still in tolerance",2,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 detected a low-severity faint buzz, indicating an early warning of potential imbalance.",False,1,3395.727634429932
gemini_2_5_flash__production,L05,coolant flow on Machine 5 is down about 3 percent from baseline,0,W3,LOW,0.48,"[gemini-2.5-flash] Coolant flow sensor W3 shows a minor drop, indicating an early warning of reduced flow.",False,1,4150.298595428467
gemini_2_5_flash__production,L05,coolant flow on Machine 5 is down about 3 percent from baseline,1,W3,LOW,0.48,"[gemini-2.5-flash] Coolant flow sensor W3 shows a minor drop, indicating an early warning sign of a potential issue.",False,1,5262.3279094696045
gemini_2_5_flash__production,L05,coolant flow on Machine 5 is down about 3 percent from baseline,2,W3,LOW,0.48,"[gemini-2.5-flash] Coolant flow sensor W3 shows a minor drop, indicating an early warning of reduced flow.",False,1,5775.219678878784
gemini_2_5_flash__production,L06,"Machine 1 ka bearing thoda sa garam lag raha hai, abhi chinta ki baat nahi",0,Xs2,LOW,0.55,"[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates a slight increase in temperature, an early warning sign of friction heat.",False,1,4000.5013942718506
gemini_2_5_flash__production,L06,"Machine 1 ka bearing thoda sa garam lag raha hai, abhi chinta ki baat nahi",1,Xs2,LOW,0.55,"[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates a slight increase, an early warning sign.",False,1,3731.678247451782
gemini_2_5_flash__production,L06,"Machine 1 ka bearing thoda sa garam lag raha hai, abhi chinta ki baat nahi",2,Xs2,LOW,0.55,"[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates a slight increase in temperature, an early warning sign of friction heat.",False,1,4566.834211349487
gemini_2_5_flash__production,L07,"m2 motor temp up 2C vs yesterday, keep an eye on it",0,Xs3,LOW,0.55,"[gemini-2.5-flash] Motor temperature sensor Xs3 shows a slight increase, indicating an early warning of potential overheating.",False,1,3480.8151721954346
gemini_2_5_flash__production,L07,"m2 motor temp up 2C vs yesterday, keep an eye on it",1,Xs3,LOW,0.55,"[gemini-2.5-flash] Motor temperature sensor Xs3 shows a slight increase, indicating an early warning of potential overheating.",False,1,2658.977746963501
gemini_2_5_flash__production,L07,"m2 motor temp up 2C vs yesterday, keep an eye on it",2,Xs3,LOW,0.55,"[gemini-2.5-flash] Motor temperature sensor Xs3 showing a slight increase, indicating an early warning.",False,1,5646.723747253418
gemini_2_5_flash__production,L08,"no rupture or leak on Machine 3, just a slight dip in oil pressure",0,Xs4,LOW,0.48,"[gemini-2.5-flash] Oil pressure sensor Xs4 indicates a slight dip, suggesting an early warning of a potential lubrication issue.",False,1,4794.649124145508
gemini_2_5_flash__production,L08,"no rupture or leak on Machine 3, just a slight dip in oil pressure",1,Xs4,LOW,0.55,"[gemini-2.5-flash] Oil pressure sensor Xs4 indicates a slight dip, an early warning sign of a potential issue.",False,1,7966.589689254761
gemini_2_5_flash__production,L08,"no rupture or leak on Machine 3, just a slight dip in oil pressure",2,Xs4,LOW,0.55,"[gemini-2.5-flash] Oil pressure sensor Xs4 indicates a slight dip, an early warning sign of a potential issue.",False,1,6855.405807495117
gemini_2_5_flash__production,L09,Machine 4 spindle sounds a little louder than usual toward the end of each shift,0,Xs12,LOW,0.55,"[gemini-2.5-flash] Acoustic dB sensor Xs12 indicates a slight increase in noise level, suggesting an early warning of a spindle anomaly.",False,1,3701.767921447754
gemini_2_5_flash__production,L09,Machine 4 spindle sounds a little louder than usual toward the end of each shift,1,Xs12,LOW,0.55,"[gemini-2.5-flash] Acoustic dB sensor Xs12 indicates a slight increase in noise level, suggesting an early warning of a spindle issue.",False,1,4519.101142883301
gemini_2_5_flash__production,L09,Machine 4 spindle sounds a little louder than usual toward the end of each shift,2,Xs12,LOW,0.55,"[gemini-2.5-flash] Acoustic dB sensor Xs12 indicates a slight increase in noise level, suggesting an early warning of a spindle issue.",False,1,3664.069652557373
gemini_2_5_flash__production,L10,Machine 5 current draw is 4 percent above its typical value,0,Xs11,LOW,0.55,"[gemini-2.5-flash] Current Amps sensor Xs11 shows a slight increase, indicating an early warning of elevated electrical draw.",False,1,4791.916370391846
gemini_2_5_flash__production,L10,Machine 5 current draw is 4 percent above its typical value,1,Xs11,LOW,0.55,"[gemini-2.5-flash] Current Amps sensor Xs11 shows a slight increase, indicating an early warning of elevated electrical draw.",False,1,4751.551866531372
gemini_2_5_flash__production,L10,Machine 5 current draw is 4 percent above its typical value,2,Xs11,LOW,0.55,"[gemini-2.5-flash] Current Amps sensor Xs11 shows a slight increase, indicating an early warning of elevated electrical draw.",False,1,4678.454875946045
gemini_2_5_flash__production,L11,"Machine 1 bearing grease looked a bit dark at the last check, temperature still normal",0,Xs2,LOW,0.55,"[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates a low severity issue, possibly related to lubricant degradation.",False,1,2849.921226501465
gemini_2_5_flash__production,L11,"Machine 1 bearing grease looked a bit dark at the last check, temperature still normal",1,Xs2,LOW,0.55,"[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates a potential early warning sign of degradation, with grease discoloration observed.",False,1,2795.3040599823
gemini_2_5_flash__production,L11,"Machine 1 bearing grease looked a bit dark at the last check, temperature still normal",2,Xs2,LOW,0.55,"[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates a low severity issue, possibly related to lubricant degradation.",False,1,2749.980926513672
gemini_2_5_flash__production,L12,"Machine 2 is nowhere near a shutdown, the motor is only a degree or two warm",0,Xs3,LOW,0.55,"[gemini-2.5-flash] Motor temperature sensor Xs3 shows a slight elevation, indicating an early warning sign.",False,1,4152.35161781311
gemini_2_5_flash__production,L12,"Machine 2 is nowhere near a shutdown, the motor is only a degree or two warm",1,Xs3,LOW,0.55,"[gemini-2.5-flash] Motor temperature sensor Xs3 shows a slight increase, indicating an early warning of potential warming.",False,1,3383.83412361145
gemini_2_5_flash__production,L12,"Machine 2 is nowhere near a shutdown, the motor is only a degree or two warm",2,Xs3,LOW,0.55,"[gemini-2.5-flash] Motor temperature sensor Xs3 shows a slight elevation, indicating an early warning sign.",False,1,4289.38102722168
gemini_2_5_flash__production,L13,"Machine 3 needed one extra second per cycle today, everything else looks fine",0,Xs13,LOW,0.55,"[gemini-2.5-flash] Cycle Time sensor Xs13 indicates a slight production lag, with each cycle taking an extra second.",False,1,4392.775535583496
gemini_2_5_flash__production,L13,"Machine 3 needed one extra second per cycle today, everything else looks fine",1,Xs13,MEDIUM,0.75,"[gemini-2.5-flash] Cycle time sensor Xs13 indicates a production slowdown, causing a slight increase in cycle duration.",False,1,3399.86515045166
gemini_2_5_flash__production,L13,"Machine 3 needed one extra second per cycle today, everything else looks fine",2,Xs13,MEDIUM,0.75,"[gemini-2.5-flash] Cycle time sensor Xs13 indicates a production slowdown, causing a slight increase in cycle duration.",False,1,3423.912525177002
gemini_2_5_flash__production,L14,"Machine 4 mein halka sa vibration hai, production normal chal raha hai",0,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 detected a slight oscillation, indicating an early warning.",False,1,2810.004472732544
gemini_2_5_flash__production,L14,"Machine 4 mein halka sa vibration hai, production normal chal raha hai",1,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 detected a slight oscillation, indicating an early warning of a potential issue.",False,1,3503.148317337036
gemini_2_5_flash__production,L14,"Machine 4 mein halka sa vibration hai, production normal chal raha hai",2,Xs0,LOW,0.55,"[gemini-2.5-flash] Vibration X sensor Xs0 detected a slight oscillation, indicating an early warning.",False,1,2843.2319164276123
gemini_2_5_flash__production,M01,"Machine 1 bearing is running hot, needs looking at this shift",0,Xs2,MEDIUM,0.78,"[gemini-2.5-flash] Bearing temperature sensor Xs2 is elevated, indicating the machine is running hot and requires attention.",False,1,4884.325742721558
gemini_2_5_flash__production,M01,"Machine 1 bearing is running hot, needs looking at this shift",1,Xs2,MEDIUM,0.78,"[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates elevated thermal conditions, requiring attention this shift.",False,1,5203.926801681519
gemini_2_5_flash__production,M01,"Machine 1 bearing is running hot, needs looking at this shift",2,Xs2,MEDIUM,0.78,"[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates elevated thermal conditions, requiring attention this shift.",False,1,5206.100463867188
gemini_2_5_flash__production,M02,Machine 2 motor temperature keeps climbing and the operator had to slow the line,0,Xs3,MEDIUM,0.78,"[gemini-2.5-flash] Motor temperature sensor Xs3 is showing an elevated reading, indicating a progressive thermal issue.",False,1,3794.528007507324
gemini_2_5_flash__production,M02,Machine 2 motor temperature keeps climbing and the operator had to slow the line,1,Xs3,MEDIUM,0.78,"[gemini-2.5-flash] Motor temperature sensor Xs3 is showing an elevated reading, indicating a progressive thermal issue.",False,1,3661.975622177124
gemini_2_5_flash__production,M02,Machine 2 motor temperature keeps climbing and the operator had to slow the line,2,Xs3,MEDIUM,0.78,"[gemini-2.5-flash] Motor temperature sensor Xs3 is showing an elevated reading, indicating a progressive thermal issue.",False,1,3800.497770309448
gemini_2_5_flash__production,M03,oil pressure on Machine 3 dropped 25 percent over the last hour,0,Xs4,MEDIUM,0.75,"[gemini-2.5-flash] Oil pressure sensor Xs4 showing a significant drop over the last hour, indicating a potential lubrication issue.",False,1,6390.298843383789
gemini_2_5_flash__production,M03,oil pressure on Machine 3 dropped 25 percent over the last hour,1,Xs4,MEDIUM,0.75,"[gemini-2.5-flash] Oil pressure sensor Xs4 showing a significant drop over time, indicating a potential leak or pump issue.",False,1,7129.17423248291
gemini_2_5_flash__production,M03,oil pressure on Machine 3 dropped 25 percent over the last hour,2,Xs4,MEDIUM,0.75,"[gemini-2.5-flash] Oil pressure sensor Xs4 showing a significant drop over time, indicating a potential leak or pump issue.",False,1,8196.722984313965
gemini_2_5_flash__production,M04,Machine 4 is shaking noticeably and the parts are coming out rough,0,Xs0,MEDIUM,0.78,"[gemini-2.5-flash] Vibration X sensor Xs0 indicates significant shaking, impacting part quality.",False,1,6447.052717208862
gemini_2_5_flash__production,M04,Machine 4 is shaking noticeably and the parts are coming out rough,1,Xs0,MEDIUM,0.78,"[gemini-2.5-flash] Vibration X sensor Xs0 indicates significant shaking, impacting part quality.",False,1,6071.012020111084
gemini_2_5_flash__production,M04,Machine 4 is shaking noticeably and the parts are coming out rough,2,Xs0,MEDIUM,0.78,"[gemini-2.5-flash] Vibration X sensor Xs0 indicates significant shaking, impacting part quality.",False,1,6283.569574356079
gemini_2_5_flash__production,M05,coolant is pooling under Machine 5 and flow to the cutter is reduced,0,W3,MEDIUM,0.75,"[gemini-2.5-flash] Coolant flow sensor W3 indicates reduced flow due to a leak, with coolant pooling under the machine.",False,1,5443.974256515503
gemini_2_5_flash__production,M05,coolant is pooling under Machine 5 and flow to the cutter is reduced,1,W3,HIGH,0.92,"[gemini-2.5-flash] Coolant flow sensor W3 indicates a critical reduction in flow due to a significant leak, impacting cutter operation.",False,1,11442.8608417511
gemini_2_5_flash__production,M05,coolant is pooling under Machine 5 and flow to the cutter is reduced,2,W3,HIGH,0.92,"[gemini-2.5-flash] Coolant flow sensor W3 indicates a critical reduction in flow due to a significant leak, impacting cutter operation.",False,1,10367.8081035614
gemini_2_5_flash__production,M06,Machine 1 bearing temperature is well above where it normally sits,0,Xs2,MEDIUM,0.78,"[gemini-2.5-flash] Bearing temperature sensor Xs2 is elevated, indicating a potential thermal issue.",False,1,3368.346691131592
gemini_2_5_flash__production,M06,Machine 1 bearing temperature is well above where it normally sits,1,Xs2,MEDIUM,0.78,"[gemini-2.5-flash] Bearing temperature sensor Xs2 is showing elevated readings, indicating a sustained thermal anomaly.",False,1,4661.394834518433
gemini_2_5_flash__production,M06,Machine 1 bearing temperature is well above where it normally sits,2,Xs2,MEDIUM,0.78,"[gemini-2.5-flash] Bearing temperature sensor Xs2 is elevated, indicating a potential thermal issue.",False,1,3001.002550125122
gemini_2_5_flash__production,M07,"Machine 2 ka motor kaafi garam ho raha hai, check karna padega",0,Xs3,MEDIUM,0.78,"[gemini-2.5-flash] Motor temperature sensor Xs3 indicates elevated thermal conditions, requiring immediate inspection.",False,1,3529.693603515625
gemini_2_5_flash__production,M07,"Machine 2 ka motor kaafi garam ho raha hai, check karna padega",1,Xs3,MEDIUM,0.78,"[gemini-2.5-flash] Motor temperature sensor Xs3 indicates elevated thermal conditions, requiring immediate inspection.",False,1,3269.747495651245
gemini_2_5_flash__production,M07,"Machine 2 ka motor kaafi garam ho raha hai, check karna padega",2,Xs3,MEDIUM,0.78,"[gemini-2.5-flash] Motor temperature sensor Xs3 indicates elevated thermal conditions, requiring immediate inspection.",False,1,3375.4615783691406
gemini_2_5_flash__production,M08,"M3 oil press low again, topping up didnt fix it",0,Xs4,MEDIUM,0.75,"[gemini-2.5-flash] Oil pressure sensor Xs4 indicates a persistent low pressure condition, requiring further investigation.",False,1,4432.369709014893
gemini_2_5_flash__production,M08,"M3 oil press low again, topping up didnt fix it",1,Xs4,MEDIUM,0.75,"[gemini-2.5-flash] Oil pressure sensor Xs4 indicates a persistent low pressure condition, requiring further investigation.",False,1,4440.463542938232
gemini_2_5_flash__production,M08,"M3 oil press low again, topping up didnt fix it",2,Xs4,MEDIUM,0.75,"[gemini-2.5-flash] Oil pressure sensor Xs4 indicates a persistent low pressure condition, requiring immediate attention.",False,1,6198.7011432647705
gemini_2_5_flash__production,M09,vibration on Machine 4 has doubled since the morning inspection,0,Xs0,MEDIUM,0.78,[gemini-2.5-flash] Vibration X sensor Xs0 indicates a significant increase in machine vibration.,False,1,4017.553806304932
gemini_2_5_flash__production,M09,vibration on Machine 4 has doubled since the morning inspection,1,Xs0,MEDIUM,0.78,"[gemini-2.5-flash] Vibration X sensor Xs0 shows a significant increase in oscillation, indicating a developing mechanical imbalance.",False,1,3323.6141204833984
gemini_2_5_flash__production,M09,vibration on Machine 4 has doubled since the morning inspection,2,Xs0,MEDIUM,0.78,"[gemini-2.5-flash] Vibration X sensor Xs0 shows a significant increase in oscillation, indicating a developing mechanical imbalance.",False,1,3297.502517700196
gemini_2_5_flash__production,M10,"nothing catastrophic yet, but Machine 5 motor current is running well above normal all shift",0,Xs11,MEDIUM,0.75,[gemini-2.5-flash] Motor current sensor Xs11 indicates sustained high electrical draw throughout the shift.,False,1,3639.885902404785
gemini_2_5_flash__production,M10,"nothing catastrophic yet, but Machine 5 motor current is running well above normal all shift",1,Xs11,MEDIUM,0.78,"[gemini-2.5-flash] Motor current sensor Xs11 indicates sustained high electrical draw, suggesting an abnormal load.",False,1,4431.4939975738525
gemini_2_5_flash__production,M10,"nothing catastrophic yet, but Machine 5 motor current is running well above normal all shift",2,Xs11,MEDIUM,0.78,"[gemini-2.5-flash] Motor current sensor Xs11 indicates sustained high electrical draw, suggesting an abnormal load.",False,1,3580.509662628174
gemini_2_5_flash__production,M11,Machine 1 spindle keeps loading up and tripping the overload about once an hour,0,Xs6,MEDIUM,0.78,"[gemini-2.5-flash] Spindle load sensor Xs6 indicates repeated overload conditions, causing the machine to trip.",False,1,4741.442680358887
gemini_2_5_flash__production,M11,Machine 1 spindle keeps loading up and tripping the overload about once an hour,1,Xs6,MEDIUM,0.78,"[gemini-2.5-flash] Spindle load sensor Xs6 indicates repeated overload conditions, causing the machine to trip.",False,1,5837.103366851807
gemini_2_5_flash__production,M11,Machine 1 spindle keeps loading up and tripping the overload about once an hour,2,Xs6,MEDIUM,0.78,"[gemini-2.5-flash] Spindle load sensor Xs6 indicates repeated overload conditions, causing the machine to trip.",False,1,5135.92267036438
gemini_2_5_flash__production,M12,Machine 2 is throwing out more rejects since the torque readings started climbing,0,Xs7,LOW,0.55,"[gemini-2.5-flash] Torque sensor Xs7 indicates a low severity increase in mechanical stress, leading to increased product rejects.",False,1,4873.0058670043945
gemini_2_5_flash__production,M12,Machine 2 is throwing out more rejects since the torque readings started climbing,1,Xs7,LOW,0.55,"[gemini-2.5-flash] Torque sensor Xs7 indicates a low severity increase in mechanical stress, leading to increased product rejects.",False,1,4569.669723510742
gemini_2_5_flash__production,M12,Machine 2 is throwing out more rejects since the torque readings started climbing,2,Xs7,LOW,0.55,"[gemini-2.5-flash] Torque sensor Xs7 shows a low severity increase, indicating a progressive mechanical stress leading to production rejects.",False,1,5077.659130096436
gemini_2_5_flash__production,M13,Machine 3 ka oil pressure baar baar gir raha hai,0,Xs4,MEDIUM,0.75,"[gemini-2.5-flash] Oil pressure sensor Xs4 is repeatedly dropping, indicating a developing issue.",False,1,6323.288917541504
gemini_2_5_flash__production,M13,Machine 3 ka oil pressure baar baar gir raha hai,1,Xs4,MEDIUM,0.75,"[gemini-2.5-flash] Oil pressure sensor Xs4 showing repeated drops, indicating an intermittent lubrication issue.",False,1,6511.066913604736
gemini_2_5_flash__production,M13,Machine 3 ka oil pressure baar baar gir raha hai,2,Xs4,MEDIUM,0.75,"[gemini-2.5-flash] Oil pressure sensor Xs4 showing repeated drops, indicating an intermittent lubrication issue.",False,1,6566.364288330078
gemini_2_5_flash__production,M14,"Machine 4 bearing is hot but it is not an emergency, we can finish the batch first",0,Xs2,LOW,0.55,"[gemini-2.5-flash] Bearing temperature sensor Xs2 is showing elevated readings, indicating an early warning sign of friction heat.",False,1,6124.244689941406
gemini_2_5_flash__production,M14,"Machine 4 bearing is hot but it is not an emergency, we can finish the batch first",1,Xs2,LOW,0.55,"[gemini-2.5-flash] Bearing temperature sensor Xs2 is showing elevated readings, indicating an early warning sign of friction heat.",False,1,6310.795783996582
gemini_2_5_flash__production,M14,"Machine 4 bearing is hot but it is not an emergency, we can finish the batch first",2,Xs2,LOW,0.55,"[gemini-2.5-flash] Bearing temperature sensor Xs2 is showing elevated readings, indicating an early warning sign of friction heat.",False,1,5990.211009979248
gemini_2_5_flash__production,H01,"Machine 1 bearing is cooked, there is metal dust all over the housing",0,Xs2,HIGH,0.95,[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates a catastrophic failure with evidence of metal degradation.,False,1,4114.014148712158
gemini_2_5_flash__production,H01,"Machine 1 bearing is cooked, there is metal dust all over the housing",1,Xs2,HIGH,0.95,[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates a catastrophic failure with evidence of metal degradation.,False,1,4100.996255874634
gemini_2_5_flash__production,H01,"Machine 1 bearing is cooked, there is metal dust all over the housing",2,Xs2,HIGH,0.95,[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates a catastrophic failure with evidence of metal degradation.,False,1,5201.650142669678
gemini_2_5_flash__production,H02,"Machine 2 motor tripped and will not restart, the windings smell scorched",0,W0,HIGH,0.95,"[gemini-2.5-flash] Motor RPM sensor W0 indicates a critical motor failure, with the machine tripped and unable to restart due to scorched windings.",False,1,8912.419557571411
gemini_2_5_flash__production,H02,"Machine 2 motor tripped and will not restart, the windings smell scorched",1,W0,HIGH,0.95,"[gemini-2.5-flash] Motor RPM sensor W0 indicates a critical motor failure, with the machine tripped and unable to restart due to scorched windings.",False,1,6490.536689758301
gemini_2_5_flash__production,H02,"Machine 2 motor tripped and will not restart, the windings smell scorched",2,W0,HIGH,0.92,"[gemini-2.5-flash] Motor RPM sensor W0 indicates a critical motor failure, with windings scorched and the motor unable to restart.",False,1,8963.762521743774
gemini_2_5_flash__production,H03,oil is spraying out of a split hose on Machine 3 and pressure has gone to zero,0,Xs4,HIGH,0.92,[gemini-2.5-flash] Oil pressure sensor Xs4 critical — complete loss of pressure due to a ruptured hose.,False,1,6579.850435256958
gemini_2_5_flash__production,H03,oil is spraying out of a split hose on Machine 3 and pressure has gone to zero,1,Xs4,HIGH,0.92,[gemini-2.5-flash] Oil pressure sensor Xs4 critical — complete loss of pressure due to a ruptured hose.,False,1,6457.588195800781
gemini_2_5_flash__production,H03,oil is spraying out of a split hose on Machine 3 and pressure has gone to zero,2,Xs4,HIGH,0.92,[gemini-2.5-flash] Oil pressure sensor Xs4 critical — complete loss of pressure due to a ruptured hose.,False,1,6323.676109313965
gemini_2_5_flash__production,H04,Machine 4 threw a bearing and the spindle is locked solid,0,W0,HIGH,0.95,"[gemini-2.5-flash] Motor RPM sensor W0 indicates a complete shaft lock, likely caused by a catastrophic bearing failure.",False,1,5099.457740783691
gemini_2_5_flash__production,H04,Machine 4 threw a bearing and the spindle is locked solid,1,W0,HIGH,0.95,"[gemini-2.5-flash] Motor RPM sensor W0 indicates a complete shaft lock, likely caused by a catastrophic bearing failure.",False,1,5551.953315734863
gemini_2_5_flash__production,H04,Machine 4 threw a bearing and the spindle is locked solid,2,W0,HIGH,0.95,"[gemini-2.5-flash] Motor RPM sensor W0 indicates a complete shaft lock, leading to machine shutdown.",False,1,6872.582197189331
gemini_2_5_flash__production,H05,Machine 5 coolant flow is reading zero and the cutting head is glowing red,0,W3,HIGH,0.92,"[gemini-2.5-flash] Coolant flow sensor W3 has completely failed, leading to critical overheating of the cutting head.",False,1,8134.575366973877
gemini_2_5_flash__production,H05,Machine 5 coolant flow is reading zero and the cutting head is glowing red,1,W3,HIGH,0.92,"[gemini-2.5-flash] Coolant flow sensor W3 has completely failed, leading to critical overheating of the cutting head.",False,1,8270.047187805176
gemini_2_5_flash__production,H05,Machine 5 coolant flow is reading zero and the cutting head is glowing red,2,W3,HIGH,0.92,"[gemini-2.5-flash] Coolant flow sensor W3 has completely failed, leading to critical overheating of the cutting head.",False,1,9697.329998016356
gemini_2_5_flash__production,H06,"Machine 1 ka motor poori tarah jal gaya hai, bilkul nahi chal raha",0,W0,HIGH,0.95,"[gemini-2.5-flash] Motor RPM sensor W0 shows a complete stop, indicating catastrophic motor failure due to burning.",False,1,12732.26022720337
gemini_2_5_flash__production,H06,"Machine 1 ka motor poori tarah jal gaya hai, bilkul nahi chal raha",1,Xs3,HIGH,0.95,[gemini-2.5-flash] Motor temperature sensor Xs3 critical — motor completely burnt and seized.,False,1,8895.453453063965
gemini_2_5_flash__production,H06,"Machine 1 ka motor poori tarah jal gaya hai, bilkul nahi chal raha",2,W0,HIGH,0.95,"[gemini-2.5-flash] Motor RPM sensor W0 shows a complete stop, indicating catastrophic motor failure due to burning.",False,1,12360.828161239624
gemini_2_5_flash__production,H07,M2 bearing gone. grinding noise then a bang. line down,0,Xs2,HIGH,0.95,"[gemini-2.5-flash] Bearing temperature sensor Xs2 shows a critical spike, indicating a catastrophic failure that led to the line shutdown.",False,1,5809.383392333984
gemini_2_5_flash__production,H07,M2 bearing gone. grinding noise then a bang. line down,1,Xs2,HIGH,0.95,"[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates a catastrophic failure, leading to a complete line shutdown.",False,1,4500.957489013672
gemini_2_5_flash__production,H07,M2 bearing gone. grinding noise then a bang. line down,2,Xs2,HIGH,0.95,"[gemini-2.5-flash] Bearing temperature sensor Xs2 indicates a catastrophic failure, leading to a complete line shutdown.",False,1,4734.679222106934
gemini_2_5_flash__production,H08,"we had to pull the plug on Machine 3, the pump housing cracked and oil is everywhere",0,Xs4,HIGH,0.91,[gemini-2.5-flash] Oil pressure sensor Xs4 critical — sudden loss of pressure due to pump housing crack.,False,1,8860.807657241821
gemini_2_5_flash__production,H08,"we had to pull the plug on Machine 3, the pump housing cracked and oil is everywhere",1,Xs4,HIGH,0.95,[gemini-2.5-flash] Oil pressure sensor Xs4 indicates a critical loss of pressure due to a cracked pump housing.,False,1,3588.0820751190186
gemini_2_5_flash__production,H08,"we had to pull the plug on Machine 3, the pump housing cracked and oil is everywhere",2,Xs4,HIGH,0.95,[gemini-2.5-flash] Oil pressure sensor Xs4 indicates a critical loss of pressure due to a cracked pump housing.,False,1,3492.4585819244385
gemini_2_5_flash__production,H09,"Machine 4 gearbox has let go, the teeth are sheared off",0,Xs7,HIGH,0.95,"[gemini-2.5-flash] Torque sensor Xs7 indicates a critical mechanical stress event, likely due to gearbox failure.",False,1,3940.1447772979736
gemini_2_5_flash__production,H09,"Machine 4 gearbox has let go, the teeth are sheared off",1,Xs7,HIGH,0.95,"[gemini-2.5-flash] Torque sensor Xs7 indicates a critical mechanical stress event, likely due to gearbox failure.",False,1,4859.05122756958
