bank_id,text,design_severity,style,anchor,university,WOPriority,SystemDescription,ComponentDescription
FM-721791,After Hours - JH Basement women's restroom toilet flush valve continuously running. (General Comments),HIGH,workorder,9,9,1-EMERGENCY,Plumbing,Toilet & Wash Basin
UAF09-0024570,SB: BRISTOL BAY: GLYCOL TEMP IN ALARM,HIGH,workorder,3,3,1-EMERGENCY,HVAC,Chilled Water Cooling System
88271,There is an active leak in the ceiling above Gina Swan's desk in LY 610. Can this be looked into and the ceiling tile replaced. Thank you.,HIGH,workorder,7,7,P1 - Emergency (1 day),Interior Finishes,Vinyl Tile Dropped Ceiling
FM-511917,There is a steam leak in a pipe above the cage washer in small animal room D178.,HIGH,workorder,9,9,1-EMERGENCY,HVAC,Pipe & Fittings
UAF07-0014855,SB: SERVER RM HIGH TEMP ALARM,HIGH,workorder,3,3,1-EMERGENCY,HVAC,HVAC Control Panel
87354,There is a ceiling leak near the washrooms main floor corridor around a access hatch in the ceiling. There is some concern about the hatch falling as the drywall around the hatch is swelling,HIGH,workorder,7,7,P1 - Emergency (1 day),Interior Finishes,Plaster Ceiling
FM-526390,After Hours - MOLR CHW Building Return Pressure Low Alarm (General Comments),HIGH,workorder,9,9,1-EMERGENCY,HVAC,HVAC Control Panel
UAF09-0024939,SB: SF4 GROWTH CHAMBER TEMP ALARM,HIGH,workorder,3,3,1-EMERGENCY,HVAC,Supply Fan
116300,"Convection oven, temperature of top oven. Over heating Main Kitchen, Bakers Section",HIGH,workorder,7,7,P1 - Emergency (1 day),Equipment,Microwave Oven
FM-513654,There is a leak in the ceiling of PLSH room 372.,HIGH,workorder,9,9,1-EMERGENCY,Plumbing,Pipe & Fittings
UAF08-0000759,SB: ALARM TEMP BELOW 35 DEGREES,HIGH,workorder,3,3,1-EMERGENCY,HVAC,Thermostat
120491,Please have a look at SP 005. I believe it’s been running for quite a while. The pump is very hot. I shut off the switch at the motor starter. Thank you.,HIGH,workorder,7,7,P1 - Emergency (1 day),Plumbing,Sump Pump
FM-577090,After hours - HHW2 had differential pressure error. Diff PR was too high. Calling for 5 psi and could only get down to 7.2 psi at minimum pump speed. (General comments),HIGH,workorder,9,9,1-EMERGENCY,HVAC,Pressure Reducer Valve
UAF08-0013306,SB: AH #6 DISCHARGE A TEMP LOW,HIGH,workorder,3,3,1-EMERGENCY,HVAC,"Air Handler, Exhaust/Multizone/Single Zone"
121981,"the first stall of toilet bow was plug again, please check thanks",HIGH,workorder,7,7,P1 - Emergency (1 day),Plumbing,Toilet & Wash Basin
FM-620119,"After Hours - Event going on at TEMP and AHUs were not running, reported but Brooke Hay (General comments)",HIGH,workorder,9,9,1-EMERGENCY,HVAC,HVAC Control Panel
UAF09-0010062,SB: AIR HANDLER #11 SUPPLY AIR TEMP LOW,HIGH,workorder,3,3,1-EMERGENCY,HVAC,"Air Handler, Exhaust/Multizone/Single Zone"
110016,WA 545 - thermostat is not working properly. Temperature is set at 72 degrees but the room is super hot.,HIGH,workorder,7,7,P1 - Emergency (1 day),HVAC,Thermostat
FM-713963,"After Hours - DEV Low system battery, ground fault alarm. (General Comments)",HIGH,workorder,9,9,1-EMERGENCY,Fire Protection,Fire Alarm Control Panel
UAF07-0022548,SB: 1ST FLR: LEAK IN CEILING,HIGH,workorder,3,3,1-EMERGENCY,Plumbing,Pipe & Fittings
128052,Second sink from the right has a tap that has been leaking for some time. The leak has now turned into a stream and can't be turned off.,HIGH,workorder,7,7,P1 - Emergency (1 day),Plumbing,Sink
FM-624708,(After Hours) Custodians notified Jason Ross of a leak in the pottery room at Richards. Bucket was used to contain the leak until morning. No damage. (General Comments),HIGH,workorder,9,9,1-EMERGENCY,Plumbing,Pipe & Fittings
UAF08-0012504,SB: DOMESTIC HW TEMP LOW,HIGH,workorder,3,3,1-EMERGENCY,Plumbing,"Water Heater, Condensing/Electric/Gas/Oil"
84255,Leak on the heating system.,HIGH,workorder,7,7,P1 - Emergency (1 day),HVAC,Pipe & Fittings
FM-515595,After hour - The domestic water booster pump at OLDH is leaking. (General comments),HIGH,workorder,9,9,1-EMERGENCY,Plumbing,Booster Pump
UAF07-0008369,SB: SF-2 LOW TEMP DETECTOR ON,HIGH,workorder,3,3,1-EMERGENCY,HVAC,Supply Fan
130432,Low coolant level alarm on generator. Called in at 10:00 am,HIGH,workorder,7,7,P1 - Emergency (1 day),Electrical,"Generator, Diesel/Propane"
FM-649225,After hours - At WHIT the 1st floor women's restroom handicap stall gurgles and is not flushing correctly. The reporter is afraid is will overflow. (General comments),HIGH,workorder,9,9,1-EMERGENCY,Plumbing,Toilet & Wash Basin
UAF07-0017664,SB: PALMER AG FARM: AIR TEMP ALARM,HIGH,workorder,3,3,1-EMERGENCY,HVAC,HVAC Control Panel
106232,"Hi, There is a liquid leak from the ceiling that is started to pour water down onto the electronics in the composition lab. The keyboard that got wet smells like sewage. Please resolve quickly.",HIGH,workorder,7,7,P1 - Emergency (1 day),Plumbing,Pipe & Fittings
FM-502667,Fire alarm support for sprinkler leak in Resident Director's Office.,HIGH,workorder,9,9,1-EMERGENCY,Fire Protection,Fire Alarm Control Panel
UAF07-0024712,SB: BLDG STATIC PRESSURE ALARM FAILED,HIGH,workorder,3,3,1-EMERGENCY,HVAC,HVAC Control Panel
104451,assuming ceiling leak - water coming into kitchen area PAINTERS added to patch and paint,HIGH,workorder,7,7,P1 - Emergency (1 day),Plumbing,Sink
FM-606411,"After hours - ARCH Hall, fire alarm trucks rolling, operator states panel reads main module water flow east building. (General Comments)",HIGH,workorder,9,9,1-EMERGENCY,Fire Protection,Fire Alarm Control Panel
UAF09-0024934,SB: BOILER #4 EMERGENCY SHUTDOWN ALARM,HIGH,workorder,3,3,1-EMERGENCY,HVAC,"Boiler, Electric/Gas/Oil"
91874,Fire Pump Controller has a Loss of Power trouble,HIGH,workorder,7,7,P1 - Emergency (1 day),Fire Protection,Fire Suppression System Water Pump
FM-611128,After hours - UNL PD Fire Alarm. (Water flow switch on fire sprinkler system needs replaced),HIGH,workorder,9,9,1-EMERGENCY,Fire Protection,Fire Alarm Control Panel
UAF07-0025913,SB: SUPERCOMPUTING: LOW COOLANT ALARM,HIGH,workorder,3,3,1-EMERGENCY,HVAC,HVAC Control Panel
107712,KI232- the water temperature is very intermittent. It goes for hot to cold to barely warm.,HIGH,workorder,7,7,P1 - Emergency (1 day),Plumbing,"Water Heater, Condensing/Electric/Gas/Oil"
FM-729665,After Hours - MOLR Room 1ST1 temp alarm (General Comments),HIGH,workorder,9,9,1-EMERGENCY,HVAC,HVAC Control Panel
UAF07-0021162,SB: BUILDING STATIC PRESSURE FAILURE,HIGH,workorder,3,3,1-EMERGENCY,HVAC,HVAC Control Panel
116865,Please deliver a back flow preventer to College Ave Campus for use on hydrant #24 in order for Superior Forklift to fill a street sweeper. Thanks,HIGH,workorder,7,7,P1 - Emergency (1 day),Plumbing,Backflow Preventor
FM-591732,After hours - Low return pressure on HHW system (General comments),HIGH,workorder,9,9,1-EMERGENCY,HVAC,Pipe & Fittings
UAF09-0012602,SB: BRISTOL BAY: LOW BOILER HEADER TEMP,HIGH,workorder,3,3,1-EMERGENCY,HVAC,"Boiler, Electric/Gas/Oil"
126825,CW 516 - appears there was a roof leak (not currently leaking) near the fan coil. Might be the roof drain.,HIGH,workorder,7,7,P1 - Emergency (1 day),Plumbing,Roof Drain
FM-671647,After Hours - TEMP Events in Building. They needed AHU systems turned on. (General Comments),HIGH,workorder,9,9,1-EMERGENCY,HVAC,HVAC Control Panel
UAF08-0020521,SB: PUMP FAILURE ON HX2,HIGH,workorder,3,3,1-EMERGENCY,HVAC,Heat Exchanger
84109,there is no power in the caretaker room can use our machine,HIGH,workorder,7,7,P1 - Emergency (1 day),Electrical,Circuit Breaker
FM-728112,After Hours - SEH Found the HHW pump 1 operating loudly during walk-thru. (General Comments) Pump 2 is making noise and it will need to be rebuilt also.,HIGH,workorder,9,9,1-EMERGENCY,HVAC,"Circulation Pump, Hot Water"
UAF09-0024568,SB: STEAM PRESSURE IN ALARM,HIGH,workorder,3,3,1-EMERGENCY,HVAC,"Steam Boiler, Gas Fired"
114935,"This might require the locksmiths and plumbers, but the gas shutoff valve in this space is not working. Could someone check into this please? Thank you.",HIGH,workorder,7,7,P1 - Emergency (1 day),Interior Construction,Door Hardware
FM-577145,"After hours - trouble on fire panel at Abel Sandoz Welcome Center per UNL PD. Reset panel, ground fault on outdoor strobe circuit. (General Comments)",HIGH,workorder,9,9,1-EMERGENCY,Fire Protection,Fire Alarm Control Panel
UAF08-0015619,SB: BUS7 TEMP ALARM,HIGH,workorder,3,3,1-EMERGENCY,HVAC,HVAC Control Panel
110744,Report the heat in adhum 348 appears to be out of control. The thermoastat has been turned down but the room appears to be getting hotter.,HIGH,workorder,7,7,P1 - Emergency (1 day),HVAC,Thermostat
FM-618969,After Hours - MANT Water Leak from ceiling in Room 305B. (General Comments),HIGH,workorder,9,9,1-EMERGENCY,Plumbing,Pipe & Fittings
UAF08-0013326,SB: NO HEAT ON UPPER TWO FLOORS,HIGH,workorder,3,3,1-EMERGENCY,HVAC,Thermostat
81389,There is a leak dripping form a 2 or 3 inch copper pipe elbow which is located about 20 yards from the parkade overhead door and very close to the wall.,HIGH,workorder,7,7,P1 - Emergency (1 day),Plumbing,Pipe & Fittings
FM-604929,UHC: HHW_E low pressure alarm on jEMS. (General Comments),HIGH,workorder,9,9,1-EMERGENCY,HVAC,HVAC Control Panel
UAF09-0013946,CI: LOW TEMP ALARM,HIGH,workorder,3,3,1-EMERGENCY,Electrical,Alarm Siren
106825,around 10:15pm. CKHS 225.6.2 water star to leak from cling. We put a bucket to hold the water and security have been notified. thanks,HIGH,workorder,7,7,P1 - Emergency (1 day),Interior Finishes,Plaster Ceiling
FM-587858,After hours - HAH: RM 213 custodial reported of a water valve in a hood spraying water and needs attention. (General Comments),HIGH,workorder,9,9,1-EMERGENCY,Plumbing,"Valve, Non-Drain"
UAF07-0015630,SB: PREHEAT COIL PUMP IN ALARM,HIGH,workorder,3,3,1-EMERGENCY,HVAC,Secondary Coil
87328,There is a leak in this room from the ceiling. carpenters added to replace ceiling tile,HIGH,workorder,7,7,P1 - Emergency (1 day),Plumbing,Pipe & Fittings
FM-608150,(After Hours) David Coffin requested a temperature adjustment for the weight room. Set point was locked by their staff causing high temp.,HIGH,workorder,9,9,1-EMERGENCY,HVAC,HVAC Control Panel
UAF07-0020650,ART GALLERY: RESPOND TO CEILING LEAK,HIGH,workorder,3,3,1-EMERGENCY,Plumbing,Pipe & Fittings
C_PLANT18088561,WATER LAB CHEMICAL IMBALANCE,LOW,workorder,2,2,4-ROUTINE,Plumbing,Reverse Osmosis/Deionized Water System
123225,add a 1-1/2'' ball valve on condensate line in mech room lacite basement - tony .k. has all the parts ready - gord.m. and Darren.b. know about this to be done on steam shut down.,LOW,workorder,7,7,P3 - Routine Type I (21 days),Plumbing,"Valve, Non-Drain"
FM-570157,Noise coming from ceiling in 2nd floor in area of E218; sounds like air and believe this is urgent. (General Comments),LOW,workorder,9,9,4-ROUTINE,Plumbing,Unplanned Maintenance
C_PLANT16014729,"UTILITY PLANT: SYSTEM LEAK (CONDENSATE, STEAM, CHILLED WATER, ETC)",LOW,workorder,2,2,4-ROUTINE,HVAC,HVAC Control Panel
81283,From Inspection 2590 Walls - Minor Wear - Patch and paint around white boards,LOW,workorder,7,7,P3 - Routine Type I (21 days),Interior Finishes,Concrete Interior Wall Finish
FM-574071,There is a leak in the hallway by BEAD room N315.,LOW,workorder,9,9,4-ROUTINE,Interior Finishes,Unplanned Maintenance
PRSNGTS17077289,PLUMBING: WATER TEMPERATURE ISSUE,LOW,workorder,2,2,4-ROUTINE,Plumbing,"Water Heater, Condensing/Electric/Gas/Oil"
123515,Scheduled Maintenance Order new main filter bags 9 X 20X 24X 22,LOW,workorder,7,7,P3 - Routine Type I (21 days),HVAC,Air Filters
FM-673342,TEMP basement next to room 11 the baseboard is loose.,LOW,workorder,9,9,4-ROUTINE,Electrical,Unplanned Maintenance
CHURCH18088408,HVAC: COLD ROOM TEMPERATURE ALARM,LOW,workorder,2,2,4-ROUTINE,HVAC,Thermostat
94054,Sump pump is not working in crawl space ELECTRICAL: disconnect and install sump pump,LOW,workorder,7,7,P3 - Routine Type I (21 days),Plumbing,Sump Pump
FM-682475,"SEC flood sensor reporting - room 029D, the sensor is sending false closure every 20 -30 minutes.",LOW,workorder,9,9,4-ROUTINE,Plumbing,Unplanned Maintenance
KRK_ANX16007375,HVAC: LEAK,LOW,workorder,2,2,4-ROUTINE,HVAC,Pipe & Fittings
113719,Glycol leak on pump discharge line. For tony.,LOW,workorder,7,7,P3 - Routine Type I (21 days),Plumbing,Pipe & Fittings
FM-544010,In MOLR room 310D & E repair the ceiling its starting to crack and paint is peeling from ceiling.,LOW,workorder,9,9,4-ROUTINE,Electrical,Unplanned Maintenance
123967,replace shower valve,LOW,workorder,7,7,P3 - Routine Type I (21 days),Plumbing,"Valve, Non-Drain"
FM-595389,"OLDH 718 has a leak they can't find the source, it may be a condensation leak.(General comments)",LOW,workorder,9,9,4-ROUTINE,Interior Finishes,Unplanned Maintenance
95781,"Apex Valve Division to test,service and recetify steam pressure safety valves. This must be completed by code every 5 years.",LOW,workorder,7,7,P3 - Routine Type I (21 days),Plumbing,Pressure Reducer Valve
FM-549742,Need refrigeration to come and work on the compressor on the sandwich make table in the Diary Store Kitchen at Food. (General Comments),LOW,workorder,9,9,4-ROUTINE,HVAC,Unplanned Maintenance
86701,Stall door lock not working. It is two down from the wheel chair accessible stall.,LOW,workorder,7,7,P3 - Routine Type I (21 days),Interior Construction,Door Hardware
FM-663294,TEMP buckets placed in the attic last night are full and the persistent leaks on Howell stage have reappeared.,LOW,workorder,9,9,4-ROUTINE,Interior Finishes,Unplanned Maintenance
102515,replace pump head on FSJP 01 Pump head has a constant drip coming from it,LOW,workorder,7,7,P3 - Routine Type I (21 days),Fire Protection,Fire Suppression System Water Pump
FM-563588,At MANT room 210 investigate the source of the leak to the first floor.,LOW,workorder,9,9,4-ROUTINE,Interior Finishes,Unplanned Maintenance
111159,High temperature of 29C in the room.,LOW,workorder,7,7,P3 - Routine Type I (21 days),HVAC,Fan Coil Unit
FM-565564,"There's a noise coming from the penthouse by rooms D129 and D130, sounds like something is rubbing.",LOW,workorder,9,9,4-ROUTINE,Plumbing,Unplanned Maintenance
122930,Make WO for myself to finish changing belts on compressor and reset compressor and clear trouble code.,LOW,workorder,7,7,P3 - Routine Type I (21 days),Plumbing,Air Compressor
FM-636584,The handwash station outside room 259 needs the sensor batteries replaced.,LOW,workorder,9,9,4-ROUTINE,Plumbing,Unplanned Maintenance
104701,Check why heat wheel is in alarm. Make WO for controls ELECTRICAL,LOW,workorder,7,7,P3 - Routine Type I (21 days),HVAC,Fan 
FM-733212,Building occupants are reporting equipment failure and suspect electrical irregularities.,LOW,workorder,9,9,4-ROUTINE,Electrical,Unplanned Maintenance
85766,"oil leak from power operator unit, thanks",LOW,workorder,7,7,P3 - Routine Type I (21 days),Interior Construction,Door Hardware
FM-523911,The requester dropped her billfold down the north elevator shaft at 19PG. (General comments),LOW,workorder,9,9,4-ROUTINE,Conveying,Unplanned Maintenance
113325,Scheduled Maintenance Motor making little noise .,LOW,workorder,7,7,P3 - Routine Type I (21 days),HVAC,"Circulation Pump, Chiller & Condenser Water"
FM-722628,Tie in electrical domestic loop pump #2.,LOW,workorder,9,9,4-ROUTINE,Electrical,Unplanned Maintenance
94696,stained ceiling tile in Northeast corner behind main desk Looks like a dripping valve Talked to Blair about it Please make this a P-3 WO,LOW,workorder,7,7,P3 - Routine Type I (21 days),Plumbing,Pipe & Fittings
FM-530470,At NU the HVAC compressor unit is not running. This is located on the 2nd floor of NU. Please authorize the use to start. (General Comments),LOW,workorder,9,9,4-ROUTINE,HVAC,Unplanned Maintenance
119870,lose toilet seat 1st stall mens 3rd floor cl bldg,LOW,workorder,7,7,P3 - Routine Type I (21 days),Plumbing,Toilet & Wash Basin
FM-713126,The cooling pad pump has gone bad in room B3.,LOW,workorder,9,9,4-ROUTINE,Electrical,Unplanned Maintenance
92087,ED AHU 002. SF 003. Rm 615 South mech room SF has a very bad vibration noise when running and door is open. I can not find where noise is coming from. Might be a bearing.,LOW,workorder,7,7,P3 - Routine Type I (21 days),HVAC,Fan 
FM-581086,The soft serve machine is not freezing ice cream. Need to have someone come out and look at it and ask for Kathy. (General Comments),LOW,workorder,9,9,4-ROUTINE,HVAC,Unplanned Maintenance
86966,"From Inspection 2041 Walls - Minor Wear - Patch and paint blue wall from table height to floor Major hole in the corner - Ph 345. Ph 343, CARP added - install corner guards",LOW,workorder,7,7,P3 - Routine Type I (21 days),Interior Finishes,Concrete Interior Wall Finish
FM-512892,"Check condensate pump in KCR, it appears to be running constantly.",LOW,workorder,9,9,4-ROUTINE,Electrical,Unplanned Maintenance
129821,"Andy Aroonwilas add access to current fob 193303129 ED 409.4, 436.14, 437, 489 RIC 437",LOW,workorder,7,7,P3 - Routine Type I (21 days),Electrical,Keypad
FM-726105,"ANSC A231 two plumbing flow issues, Brent spoke with Gabe.",LOW,workorder,9,9,4-ROUTINE,Plumbing,Unplanned Maintenance
130335,van 10 leaking coolant from rear heater?,LOW,workorder,7,7,P3 - Routine Type I (21 days),Equipment,General Vehicular Equipment
FM-695095,"In room D178F, temperature control breaker box needs to be turned back on, See Brent",LOW,workorder,9,9,4-ROUTINE,HVAC,Unplanned Maintenance
115079,Pressure gauge was bottomed out and not working properly. Need service mechanic to fix or replace. Picture added to WO.,LOW,workorder,7,7,P4 - Routine Type II (60 days),HVAC,"Circulation Pump, Chiller & Condenser Water"
FM-550499,AHG4 D4 current pad trough. Jeff Dowling is aware of this. check slope on trough,LOW,workorder,9,9,4-ROUTINE,HVAC,Unplanned Maintenance
83811,Remove ceiling tiles for access to VAV and heating valve above ceiling. Location is identified by label on ceiling grid. Please advise when complete. ( Asbestos abatement crew),LOW,workorder,7,7,P3 - Routine Type I (21 days),Interior Finishes,Vinyl Tile Dropped Ceiling
FM-603385,"LML room 004 for Refrigeration Rack ""C"". #2 compressor won't run.",LOW,workorder,9,9,4-ROUTINE,HVAC,Unplanned Maintenance
87957,Sump pump float needs replacement. The crawlspace surrounding sump hole is flooded as pump does not run with bad float switch.,LOW,workorder,7,7,P3 - Routine Type I (21 days),Plumbing,Sump Pump
FM-735082,Condensate pump running non stop,LOW,workorder,9,9,4-ROUTINE,Electrical,Unplanned Maintenance
123974,need 240 power to operate welder for new pump installation -- bert knows,LOW,workorder,7,7,P3 - Routine Type I (21 days),Electrical,"Wiring Device, Switch"
FM-690105,GAUN replace main lobby chandelier winch motor and control panel.,LOW,workorder,9,9,4-ROUTINE,Electrical,Unplanned Maintenance
107969,Fire pump controller panel reads about 7-8 psi lower than normal. Please check.,LOW,workorder,7,7,P3 - Routine Type I (21 days),Fire Protection,Fire Suppression System Water Pump
FM-684698,14PG investigate surge protectors on panels.,LOW,workorder,9,9,4-ROUTINE,Electrical,Unplanned Maintenance
120684,The front office temperature is too cold.,LOW,workorder,7,7,P3 - Routine Type I (21 days),HVAC,Thermostat
FM-722141,Recirculating pump not working.,LOW,workorder,9,9,4-ROUTINE,Electrical,Unplanned Maintenance
118155,sump pump 038 has air leak in suction line,LOW,workorder,7,7,P3 - Routine Type I (21 days),Plumbing,Sump Pump
FM-535461,"I have a facet in MOLR room 310D that is not working, it’s a sensor facet so I’m assuming the battery is likely dead in the sensor.",LOW,workorder,9,9,4-ROUTINE,Plumbing,Unplanned Maintenance
90193,EF 35 very noisy. High pitched sound. Motor bearings appear to be ok. To be confirmed ELEC added,LOW,workorder,7,7,P3 - Routine Type I (21 days),HVAC,Fan 
FM-660549,"Check the temper cabinet in the Dairy Store outside Kathy's office, the temperature will go way up, then slowly go back down. Contact Kathy with questions.",LOW,workorder,9,9,4-ROUTINE,HVAC,Unplanned Maintenance
113316,The float on the condensate tank came off pulled access off the side of the tank and fished the float out of the pump pipe and reinstalled.,LOW,workorder,7,7,P3 - Routine Type I (21 days),HVAC,Pipe & Fittings
FM-604955,"Glass Teaching Greenhouse Middle Section East Side. There is a possible steam pipe leak underneath the heating unit in this room, Dennis Adkins has been shown the location. (General Comments)",LOW,workorder,9,9,4-ROUTINE,Electrical,Unplanned Maintenance
112995,Water fountain on main floor kisik red light on for filter change,LOW,workorder,7,7,P3 - Routine Type I (21 days),Plumbing,Drinking Fountain
FM-664804,Custodian lost a key down the elevator shaft at UHC. Please leave the keys in UHC room 39. Eletech and Justus notified.,LOW,workorder,9,9,4-ROUTINE,Conveying,Unplanned Maintenance
85959,In basement Mech room 008 steam pressure reducing station has leak at flange gasket. Couldn’t find Asset on this station.,LOW,workorder,7,7,P3 - Routine Type I (21 days),HVAC,"Steam Boiler, Gas Fired"
FM-518135,There was have no hot water in the kitchen this morning and the water pressure is very low.,LOW,workorder,9,9,4-ROUTINE,Electrical,Unplanned Maintenance
124040,control valve leaking above tub-- clean up insulation and try to found out where strange smells coming from in room 719 and 819 PAINTERS:,LOW,workorder,7,7,P3 - Routine Type I (21 days),Plumbing,"Flow Control Valve, Motorized"
FM-655106,FMS room 110 the white noise machine stops and starts intermittently.,LOW,workorder,9,9,4-ROUTINE,Electrical,Unplanned Maintenance
106093,Could I please have the exhaust in this space increased to help with the high heat issues? Thank you.,LOW,workorder,7,7,P3 - Routine Type I (21 days),HVAC,Exhaust Fan
FM-575288,"In PLSH lab 436 the gas flow to the laminar flow hood is very weak, flame keeps going out.",LOW,workorder,9,9,4-ROUTINE,Plumbing,Unplanned Maintenance
61838,"From Inspection 2147 Walls - Minor Wear - Patch and paint entrance, some wear marks from wall partitions Repair corner at entrance and paint wall - Ph 833.",LOW,workorder,7,7,P3 - Routine Type I (21 days),Interior Finishes,Concrete Interior Wall Finish
FM-628663,Having a voltage issue in SEC 29 cabinet #N28.,LOW,workorder,9,9,4-ROUTINE,Electrical,Unplanned Maintenance
112966,call out for water on floor and sump pump s not working for pool s -- shane .b. called out 7;00 am Thursday am,LOW,workorder,7,7,P3 - Routine Type I (21 days),Plumbing,Sump Pump
116233,Scheduled Maintenance Motor making nose sounds like bearing.,LOW,workorder,7,7,P3 - Routine Type I (21 days),Plumbing,Water Softener
129033,re pipe diffusers with galv. 5'' pipe to quiet down air flow,LOW,workorder,7,7,P3 - Routine Type I (21 days),Plumbing,Pipe & Fittings
